turn	track	speaker	start_s	end_s	language	session	reference
202	A	17	393.45	396.14	zh	1	学完之后感觉学的还是一些皮毛不是特别难
203	B	3	395.04	398.3	zh	1	然后后后来后来就是
204	B	3	399.16	402.2	mixed	1	后来也做了一段时间sentiment analysis
205	B	3	402.8	407.62	mixed	1	对这一块算比较easy the part然后
206	A	17	408.72	409.3	en	1	yeah
207	A	17	409.75	412.43	en	1	like because you can use some package
208	B	3	410.32	413.78	mixed	1	对我也做过一些generation task
209	B	3	413.82	416.94	zh	1	就是比如说就是
210	B	3	417.26	419.7	mixed	1	一些文章评论的generation
211	A	17	419.28	420.18	zh	1	在深圳的
212	A	17	420.46	420.76	zh	1	嗯
213	B	3	421.58	426.88	mixed	1	这个是我觉得比较interesting part的的那个topic
214	A	17	424.42	424.94	zh	1	没有
215	A	17	425.78	428.12	zh	1	因为其实我找工作上学期找的嘛
216	B	3	427.1	430.04	zh	1	然后对我是当时
217	A	17	428.2	429.74	zh	1	然后上学期刚来的时候
218	A	17	430.22	431.64	zh	1	呃压力比较大然后
219	B	3	430.62	433.6	zh	1	当时试了很多一些就是
220	A	17	431.77	433.59	zh	1	也还有很多不适应的地方
221	B	3	433.82	437.72	mixed	1	就是他的任务就是说嗯给你一个article
222	A	17	433.84	435.94	zh	1	然后总的来说我觉得
223	A	17	436.03	438.65	zh	1	嗯薪资水平虽然这边会比较高但是
224	B	3	438.2	440.68	zh	1	然后你需要模仿
225	A	17	439.03	440.41	zh	1	大陆可能会
226	A	17	440.78	441.36	zh	1	更
227	B	3	441.34	446.5	mixed	1	就是user去回去respond一些就是interesting的
228	A	17	442.21	444.4	zh	1	更更有趣有一点
229	A	17	444.99	449.46	zh	1	所以就会还是选择回大陆找我就觉得 [UNK]
230	B	3	446.72	448.13	zh	1	的的一些评论
231	B	3	448.87	449.94	zh	1	然后
232	A	17	449.74	452.19	zh	1	还蛮多觉得真心觉得香港还还不错
233	B	3	452.46	453.94	zh	1	对挺有趣的我觉得
234	B	3	453.94	454.46	zh	1	嗯
235	A	17	453.96	454.51	zh	1	嗯
236	B	3	455.38	460.79	mixed	1	如果现在有一个呃问题问一下就是why why did you come to Hong Kong
237	A	17	457.86	458.48	en	1	um
238	A	17	458.82	459.43	en	1	no
239	A	17	459.68	460.94	en	1	i'm not nervous
240	B	3	461.68	464.78	zh	1	就是为什么来这边学习然后就是
241	B	3	465.16	467.68	zh	1	就是不去不留在
242	A	17	465.2	465.8	en	1	thank you
243	B	3	468.52	472.26	mixed	1	大陆继续念啊不去呃US
244	A	17	469.16	469.58	en	1	so
245	B	3	472.72	475.98	mixed	1	去念研究所那为什么选择来Hong Kong
246	A	17	473.85	475.34	en	1	So what uh
247	A	17	476.46	478.4	en	1	What do you plan to find
248	B	3	476.7	483.62	mixed	1	我觉得Hong Kong这样比较in between就是western还有eastern的的那种
249	A	17	478.52	482.18	en	1	uh uh i i mean what's your planning for your next
250	A	17	482.46	483.32	en	1	shop
251	A	17	484.52	488.42	en	1	because you say you are not satisfied with the job you have found
252	B	3	484.8	486.72	mixed	1	的的那种我culture
253	B	3	486.82	487.34	zh	1	嗯哼
254	B	3	487.56	489.98	zh	1	对然后算是
255	B	3	490.98	492.16	zh	1	比较
256	B	3	492.72	499.6	mixed	1	比较就是对我来说比较new但是又就是说比比较容易习惯
257	A	17	495.18	496.11	en	1	you rejected it
258	A	17	498.56	499.3	en	1	ok
259	A	17	499.95	500.52	en	1	Louis
260	B	3	500.18	501.6	zh	1	所以
261	A	17	502.14	503.82	en	1	oh you don't likeGuangzhou
262	B	3	502.54	503.8	zh	1	对所以呢
263	B	3	503.9	508.6	en	1	you know this is like kind of different but like kind of not that big difference
264	A	17	506.7	507.74	en	1	oh ok
265	B	3	508.92	509.66	zh	1	对
266	B	3	509.78	510.84	zh	1	所以其实
267	B	3	511.36	513.94	mixed	1	听起来蛮make sense我当初来
268	B	3	514.26	522.46	mixed	1	就当初在做exchange student的时候就在apply to这个program的时候其实我是可以选择我要往哪个方向
269	A	17	514.78	518.15	en	1	so you prefer work in Hongkong or in Shenzhen
270	A	17	519.251	519.73	en	1	both
271	A	17	521.23	521.711	zh	1	嗯
272	B	3	522.96	527.86	mixed	1	那我当初其实来选择来 [UNK] 是一个i'll say it's like a mistake
273	A	17	527.98	536.46	en	1	so um so will uh will you do you you will do sports in your uh [UNK] time
274	B	3	529.4	538.54	mixed	1	mistake is because我当初其实原本是想要往US去走但我那时候是在the third i remember third year
275	A	17	537.18	541.8	en	1	and besides tennis you basically studied
276	B	3	538.92	546.74	mixed	1	对再说apply for the fourth year i will我觉得我去exchange是在第四年的时候但是我apply是在third years的时候apply
277	A	17	541.9	542.18	en	1	right
278	A	17	546.94	547.37	en	1	oh
279	B	3	547.4	552.74	mixed	1	对然后那时候apply的时候很很忙就是you know too too many
280	A	17	550.08	552.08	zh	1	嗯我是一个从来不运动的人
281	A	17	552.16	553.38	en	1	uh
282	B	3	553.18	564.38	mixed	1	activities different kind of activities对有时候去忙一些那个舞会啊party呀有时候忙一些领队啊就是the low summer camp for students so i have lots of different kinds of
283	A	17	558.08	560.7	en	1	um i can't insist
284	A	17	561.0	564.56	en	1	doing sports more than three days
285	B	3	564.98	568.2	mixed	1	activities所以当时呢就很
286	B	3	569.04	570.64	zh	1	很乱考了一些托福
287	B	3	571.58	573.94	zh	1	所以说托福那时候我印象中
288	A	17	573.27	575.68	zh	1	看电影听音乐不看书
289	B	3	574.3	577.26	mixed	1	from our department如果我们要去申请
290	A	17	576.2	578.96	zh	1	看电影听音乐然后出去吃东西什么的
291	B	3	577.53	584.82	mixed	1	就是美国学校的exchange的话托福toefl toefl score need to be like over one hundred and five
292	A	17	580.08	581.11	zh	1	我比较喜欢吃
293	B	3	585.36	585.96	en	1	yeah
294	B	3	586.28	596.74	mixed	1	但是我就只有我不到一百才九十几那就 [UNK] 什么都没 [UNK] 就考到就做不到所以说就没办法去填任何在美国的的graduate school
295	A	17	592.22	593.14	zh	1	嗯
296	A	17	593.64	595.32	mixed	1	也没有很多girls night
297	A	17	595.66	598.43	mixed	1	大多数night就是一直在床上睡觉
298	B	3	597.1	599.8	zh	1	对所以后来就说那就找一个
299	A	17	598.74	600.08	zh	1	疲惫
300	B	3	600.36	602.94	mixed	1	找个地方which is speak in english
301	B	3	603.46	604.6	en	1	you know like a
302	A	17	603.86	604.72	zh	1	嗯
303	B	3	604.62	608.18	zh	1	[UNK] 台湾台湾美从小到大全部都是
304	A	17	605.56	607.51	en	1	so do you have something
305	A	17	607.87	618.3	en	1	to do list is like um something you must have to do before you graduate from HK University because yeah we are [UNK] a graduate right now
306	B	3	608.24	609.36	en	1	Chinese speaking
307	B	3	609.7	612.22	mixed	1	like所有的教授什么都会说中文
308	B	3	612.4	613.18	zh	1	那
309	B	3	613.92	617.28	zh	1	就想找一个诶这个环境是至少是英语授课
310	B	3	617.66	621.34	mixed	1	就professor就第一个是这个学校的rank也不要
311	A	17	619.32	622.24	en	1	um i'm i'm marry soon right now
312	B	3	621.62	622.58	zh	1	不要太低
313	B	3	622.82	624.82	zh	1	对然后环境也要
314	B	3	624.96	632.16	mixed	1	也也是英语方向为主然后整个亚洲这样看起来不是Hong Kong就是Singapore
315	B	3	633.12	634.38	zh	1	对就这两个地方
316	A	17	634.25	637.3	mixed	1	嗯所以你现在还是比较focus在找工作这件事上
317	B	3	634.5	636.91	zh	1	那刚好就是就是
318	B	3	637.02	644.54	mixed	1	就 [UNK] 我们我们的department跟这边的那个 [UNK] engineering有合作所以就过来
319	A	17	638.78	639.32	zh	1	嗯
320	B	3	645.12	648.56	zh	1	对这是我过来香港的原因其实
321	A	17	645.14	646.09	zh	1	哦对对对
322	A	17	648.833	649.233	zh	1	嗯
323	B	3	649.08	653.72	mixed	1	not what I expected in the beginning but just对最后就回到这里
324	A	17	650.32	651.11	zh	1	现在确实是
325	A	17	654.41	659.27	mixed	1	但那个办那个 i n g i a n g是不是只有之后打算留香港的人才能
326	B	3	655.24	658.98	mixed	1	那你来之前的时候已经想好你的major了吗
327	B	3	659.14	660.26	zh	1	还是
328	B	3	660.84	668.16	mixed	1	就是你在申请就是不认识American University或者就是Hong Kong的Singapore的
329	A	17	668.02	668.69	en	1	not for work
330	B	3	668.44	672.12	mixed	1	就是你已经想好你要念哪个major了吗
331	A	17	669.36	669.77	zh	1	啊
332	B	3	673.6	676.82	mixed	1	major你是说大学的时候的major
333	A	17	676.04	677.59	en	1	so unlimited time
334	B	3	676.939	680.78	mixed	1	我是说就是postgraduate的major
335	B	3	681.549	682.459	zh	1	哦
336	B	3	682.52	686.62	mixed	1	就是你申请那些university你不是要applied就是
337	B	3	687.12	688.23	mixed	1	不同的major吗
338	B	3	688.279	688.709	zh	1	呃
339	A	17	688.6	689.48	zh	1	嗯嗯
340	B	3	689.04	695.12	mixed	1	我的方法比较不一样是因为在做extra申请extra的时候不用选你要去哪一个department
341	A	17	694.387	694.687	zh	1	嗯
342	B	3	695.84	701.56	mixed	1	就你要申请去交换你并不需要去说哦我要去哪一个department交换是直接选school
343	A	17	696.85	698.5	zh	1	好的那我也去办一下
344	A	17	701.74	704.5	mixed	1	想过但是因为最近project有点多
345	B	3	701.76	704.42	mixed	1	我要去这个university做交换
346	B	3	705.02	713.14	mixed	1	所以但是跟那这跟major没关系的你说的major可能是哦我接下来要apply到graduate school的时候我要往computer science和往electric engineering
347	A	17	706.08	708.12	mixed	1	六月一号两门final吗
348	A	17	709.49	714.1	zh	1	所以最近比较忙不过好像也确实该去办了之后也没有什么时间
349	B	3	713.16	717.0	mixed	1	还是company engineering去做这个这个地方是是要决定的
350	B	3	717.28	721.18	mixed	1	对那我当初其实是我本科是e background
351	A	17	719.48	721.88	zh	1	但是我们的房租就到了
352	B	3	721.38	725.22	zh	1	就是本身是做艺体出身的但是在做其实我们艺体是
353	A	17	722.3	722.78	zh	1	六月
354	A	17	723.622	723.942	zh	1	嗯
355	B	3	725.86	729.02	mixed	1	我们的department其实hardware跟software其实是各半
356	A	17	726.32	728.32	mixed	1	呃i live in [UNK]
357	B	3	729.37	730.52	zh	1	对所以
358	A	17	730.52	733.26	en	1	sorry [UNK] is not good
359	B	3	730.9	733.24	zh	1	我原本就打算
360	B	3	733.38	737.16	mixed	1	graduate school就是往software software related的方向去走
361	A	17	736.32	737.38	zh	1	你住在哪
362	B	3	737.36	740.64	zh	1	对所以呢申请过来其实我原本申请过来我并不是要做
363	A	17	738.31	739.15	zh	1	都住在坑口
364	A	17	739.666	739.966	zh	1	嗯
365	B	3	741.11	744.78	mixed	1	我并不是要做N L P的对我并不是要做natural language processing
366	A	17	741.78	743.19	mixed	1	uh呃
367	A	17	744.26	745.68	en	1	have you ever
368	B	3	745.42	747.84	mixed	1	我原本是想要做robotics相关的事情
369	A	17	745.766	746.226	zh	1	呃
370	A	17	747.04	748.22	en	1	have has
371	B	3	748.2	750.16	zh	1	对然后那时候 [UNK]
372	A	17	748.84	751.03	en	1	like dogs or cats
373	B	3	752.52	756.78	mixed	1	但是我的supervisor就跟我说也不是supervisor就是我的呃
374	B	3	757.14	758.84	mixed	1	呃possible supervisor
375	B	3	758.92	767.54	mixed	1	也就是我现在supervisor呢就跟我说哎那你过来跟我做我就给你一些robotics相关的题目啊这样子做那我就说哎那其实
376	A	17	759.74	761.38	en	1	do you have pets
377	A	17	762.9	763.6	en	1	no
378	A	17	766.666	767.696	zh	1	我呃
379	B	3	767.76	772.1	mixed	1	感觉还不错robotics就是robotics mix with language application
380	A	17	769.206	769.606	zh	1	嗯
381	A	17	770.626	771.036	zh	1	麻烦
382	B	3	772.14	773.28	en	1	kind of interested
383	A	17	772.656	773.186	zh	1	哦
384	B	3	773.5	774.78	zh	1	对所以我就过来了
385	A	17	774.399	775.159	zh	1	嗯嗯
386	A	17	775.366	775.766	zh	1	没错
387	B	3	775.65	783.26	zh	1	然后过来之后呢就对选选择主题又是另外一回事情了但是就是过来之后就渐渐的就越往
388	A	17	782.22	783.02	zh	1	嗯
389	B	3	784.12	785.22	zh	1	越往
390	A	17	784.6	785.26	zh	1	嗯
391	B	3	785.78	789.54	zh	1	呃就非艺体的方向去走
392	A	17	787.18	788.3	zh	1	嗯
393	A	17	788.58	790.98	en	1	so do you love your major
394	B	3	789.56	796.0	mixed	1	对我的我undergraduate的时候学的major也是
395	A	17	793.479	793.999	zh	1	呃
396	A	17	794.4	796.03	zh	1	喜欢你那个专业吗
397	B	3	796.1	797.9	mixed	1	也是那个hardware
398	B	3	798.22	804.66	mixed	1	然后在打算申请graduate school的时候我考虑过挺多major的
399	A	17	799.14	800.96	zh	1	那你本科念的也是相关的吗
400	B	3	805.04	806.86	zh	1	有就是
401	A	17	805.54	807.04	zh	1	那也是理工科嘛
402	B	3	806.9	811.72	mixed	1	那个往material的方向走或者往那个integrities
403	A	17	807.612	807.872	zh	1	嗯
404	A	17	809.82	811.42	zh	1	我又不是理工科
405	B	3	811.78	813.52	mixed	1	呃secrete方向走
406	B	3	813.58	816.92	mixed	1	或者就是往往那个software方向走
407	A	17	816.936	817.226	zh	1	对
408	A	17	818.84	821.72	zh	1	其实我当时选择这个专业还是因为
409	A	17	822.12	825.32	zh	1	感觉最后这方面嗯比较好
410	A	17	826.02	827.62	zh	1	前景比较好一点
411	B	3	828.36	831.34	mixed	1	对就是当时考虑过挺多major的
412	A	17	831.44	835.96	mixed	1	深圳啊或者是上海这种比较大的城市会有更多opportunity
413	B	3	831.48	834.26	mixed	1	然后我也面试了很多不同的professor
414	B	3	834.88	836.22	zh	1	当时
415	B	3	836.56	843.6	mixed	1	当时其实有一个就是做communication的professor想找我进组
416	A	17	838.0	838.54	zh	1	对
417	A	17	839.66	842.55	mixed	1	那你有没有什么favourite foods
418	B	3	844.02	848.84	mixed	1	然后但是我当时读了很多相关的paper
419	A	17	845.82	846.34	zh	1	没有
420	B	3	849.04	852.7	zh	1	然后发现我真正的兴趣并不是在这里
421	B	3	852.86	853.7	zh	1	然后
422	A	17	853.725	854.235	zh	1	嗯
423	B	3	854.12	858.5	mixed	1	that's the reason我来就是最后决定做那个
424	A	17	855.835	859.605	mixed	1	嗯I like hot pot
425	B	3	858.52	860.6	mixed	1	还是做software的方向
426	A	17	860.26	861.74	en	1	ok
427	A	17	863.02	864.21	mixed	1	嗯spicy food
428	B	3	863.28	863.98	zh	1	是
429	B	3	864.24	865.3	zh	1	那
430	B	3	865.7	868.74	mixed	1	那不如我们就跳到下一个topic topic吧
431	B	3	868.76	869.66	zh	1	可以
432	A	17	873.42	875.49	zh	1	可能女生都喜欢吃火锅
433	A	17	878.273	879.713	zh	1	对香港都不辣
434	A	17	880.22	881.74	zh	1	香港点什么嗯
435	A	17	882.1	885.44	mixed	1	[UNK] very spicy food也不辣
436	A	17	885.9	887.41	zh	1	之前是妈妈的味道
437	A	17	891.86	894.7	zh	1	是可能是福建人里面最能吃辣的
438	A	17	899.18	902.02	zh	1	那你们你们打算之后就是
439	A	17	902.14	904.56	zh	1	如果在香港找工作的话你要续租吗
440	A	17	909.234	911.074	zh	1	那你也差不多要开始租房了呀
441	A	17	923.42	924.68	zh	1	嗯没错
442	A	17	927.32	934.44	zh	1	不过这样子你就之后找工作也蛮辛苦的如果你要图深圳的也要图香港的话要两边跑
443	A	17	941.54	942.57	en	2	boys and girls
444	A	17	943.98	948.1	en	2	so you can say you play you like toplaytennis
445	A	17	948.48	953.13	en	2	so have you ever play tennis with other people with the same team
446	B	3	950.3	955.25	mixed	2	呃你是说呃你有一些就你最喜欢的sport是什么
447	A	17	955.69	961.555	en	2	in the same team you like four people are playing tennis together and two of you in this side
448	A	17	964.975	968.13	zh	2	男女都有但两个人一起打就是两个一起
449	B	3	968.94	972.24	zh	2	我觉得最棒的运动有
450	B	3	972.75	973.51	zh	2	两个
451	B	3	974.01	976.74	mixed	2	一个是basketball一个是badminton
